Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2012,2013,2014,2015,2016,2017,2018,2019,2020
VCT,St. Vincent and the Grenadines,32534,CPI Score,Total,62,62,67,,60,58,58,59,59
VCT,St. Vincent and the Grenadines,32535,Rank,Rank,36,33,29,,35,40,41,39,40
VEN,"Venezuela, RB",32534,CPI Score,Total,19,20,19,17,17,18,18,16,15
VEN,"Venezuela, RB",32535,Rank,Rank,165,160,161,158,166,169,168,173,176
VNM,Vietnam,32534,CPI Score,Total,31,31,31,31,33,35,33,37,36
VNM,Vietnam,32535,Rank,Rank,123,116,119,112,113,107,117,96,104
VUT,Vanuatu,32534,CPI Score,Total,,,,,,43,46,46,43
VUT,Vanuatu,32535,Rank,Rank,,,,,,71,64,64,75
WSM,Samoa,32534,CPI Score,Total,,,52,,,,,,
WSM,Samoa,32535,Rank,Rank,,,50,,,,,,
YEM,"Yemen, Rep.",32534,CPI Score,Total,23,18,19,18,14,16,14,15,15
YEM,"Yemen, Rep.",32535,Rank,Rank,156,167,161,154,170,175,176,177,176
ZAF,South Africa,32534,CPI Score,Total,43,42,44,44,45,43,43,44,44
ZAF,South Africa,32535,Rank,Rank,69,72,67,61,64,71,73,70,69
ZMB,Zambia,32534,CPI Score,Total,37,38,38,38,38,37,35,34,33
ZMB,Zambia,32535,Rank,Rank,88,83,85,76,87,96,105,113,117
ZWE,Zimbabwe,32534,CPI Score,Total,20,21,21,21,22,22,22,24,24
ZWE,Zimbabwe,32535,Rank,Rank,163,157,156,150,154,157,160,158,157
