Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2012,2013,2014,2015,2016,2017,2018,2019,2020
CYP,Cyprus,32535,Rank,Rank,29,31,31,32,47,42,38,41,42
CZE,Czech Republic,32534,CPI Score,Total,49,48,51,56,55,57,59,56,54
CZE,Czech Republic,32535,Rank,Rank,54,57,53,37,47,42,38,44,49
DEU,Germany,32534,CPI Score,Total,79,78,79,81,81,81,80,80,80
DEU,Germany,32535,Rank,Rank,13,12,12,10,10,12,11,9,9
DJI,Djibouti,32534,CPI Score,Total,36,36,34,34,30,31,31,30,27
DJI,Djibouti,32535,Rank,Rank,94,94,107,99,123,122,124,126,142
DMA,Dominica,32534,CPI Score,Total,58,58,58,,59,57,57,55,55
DMA,Dominica,32535,Rank,Rank,41,41,39,,38,42,45,48,48
DNK,Denmark,32534,CPI Score,Total,90,91,92,91,90,88,88,87,88
DNK,Denmark,32535,Rank,Rank,1,1,1,1,1,2,1,1,1
DOM,Dominican Republic,32534,CPI Score,Total,32,29,32,33,31,29,30,28,28
DOM,Dominican Republic,32535,Rank,Rank,118,123,115,103,120,135,129,137,137
DZA,Algeria,32534,CPI Score,Total,34,36,36,36,34,33,35,35,36
DZA,Algeria,32535,Rank,Rank,105,94,100,88,108,112,105,106,104
ECU,Ecuador,32534,CPI Score,Total,32,35,33,32,31,32,34,38,39
ECU,Ecuador,32535,Rank,Rank,118,102,110,107,120,117,114,93,92
EGY,"Egypt, Arab Rep.",32534,CPI Score,Total,32,32,37,36,34,32,35,35,33
EGY,"Egypt, Arab Rep.",32535,Rank,Rank,118,114,94,88,108,117,105,106,117
ERI,Eritrea,32534,CPI Score,Total,25,20,18,18,18,20,24,23,21
ERI,Eritrea,32535,Rank,Rank,150,160,166,154,164,165,157,160,160
ESP,Spain,32534,CPI Score,Total,65,59,60,58,58,57,58,62,62
ESP,Spain,32535,Rank,Rank,30,40,37,36,41,42,41,30,32
EST,Estonia,32534,CPI Score,Total,64,68,69,70,70,71,73,74,75
EST,Estonia,32535,Rank,Rank,32,28,26,23,22,21,18,18,17
ETH,Ethiopia,32534,CPI Score,Total,33,33,33,33,34,35,34,37,38
ETH,Ethiopia,32535,Rank,Rank,113,111,110,103,108,107,114,96,94
FIN,Finland,32534,CPI Score,Total,90,89,89,90,89,85,85,86,85
FIN,Finland,32535,Rank,Rank,1,3,3,2,3,3,3,3,3
FRA,France,32534,CPI Score,Total,,,,,,,72,69,69
FRA,France,32535,Rank,Rank,,,,,,,21,23,23
GAB,Gabon,32534,CPI Score,Total,35,34,37,34,35,32,31,31,30
GAB,Gabon,32535,Rank,Rank,102,106,94,99,101,117,124,123,129
GBR,United Kingdom,32534,CPI Score,Total,74,76,78,81,81,82,80,77,77
GBR,United Kingdom,32535,Rank,Rank,17,14,14,10,10,8,11,12,11
GEO,Georgia,32534,CPI Score,Total,52,49,52,52,57,56,58,56,56
GEO,Georgia,32535,Rank,Rank,51,55,50,48,44,46,41,44,45
GHA,Ghana,32534,CPI Score,Total,45,46,48,47,43,40,41,41,43
GHA,Ghana,32535,Rank,Rank,64,63,61,56,70,81,78,80,75
GIN,Guinea,32534,CPI Score,Total,24,24,25,25,27,27,28,29,28
GIN,Guinea,32535,Rank,Rank,154,150,145,139,142,148,138,130,137
GMB,"Gambia, The",32534,CPI Score,Total,34,28,29,28,26,30,37,37,37
GMB,"Gambia, The",32535,Rank,Rank,105,127,126,123,145,130,93,96,102
GNB,Guinea-Bissau,32534,CPI Score,Total,25,19,19,17,16,17,16,18,19
GNB,Guinea-Bissau,32535,Rank,Rank,150,163,161,158,168,171,172,168,165
GNQ,Equatorial Guinea,32534,CPI Score,Total,20,19,,,,17,16,16,16
GNQ,Equatorial Guinea,32535,Rank,Rank,163,163,,,,171,172,173,174
GRC,Greece,32534,CPI Score,Total,36,40,43,46,44,48,45,48,50
GRC,Greece,32535,Rank,Rank,94,80,69,58,69,59,67,60,59
GRD,Grenada,32534,CPI Score,Total,,,,,56,52,52,53,53
GRD,Grenada,32535,Rank,Rank,,,,,46,52,53,51,52
GTM,Guatemala,32534,CPI Score,Total,33,29,32,28,28,28,27,26,25
GTM,Guatemala,32535,Rank,Rank,113,123,115,123,136,143,144,146,149
GUY,Guyana,32534,CPI Score,Total,28,27,30,29,34,38,37,40,41
GUY,Guyana,32535,Rank,Rank,133,136,124,119,108,91,93,85,83
HKG,"Hong Kong SAR, China",32534,CPI Score,Total,77,75,74,75,77,77,76,76,77
HKG,"Hong Kong SAR, China",32535,Rank,Rank,14,15,17,18,15,13,14,16,11
HND,Honduras,32534,CPI Score,Total,28,26,29,31,30,29,29,26,24
HND,Honduras,32535,Rank,Rank,133,140,126,112,123,135,132,146,157
HRV,Croatia,32534,CPI Score,Total,46,48,48,51,49,49,48,47,47
HRV,Croatia,32535,Rank,Rank,62,57,61,50,55,57,60,63,63
HTI,Haiti,32534,CPI Score,Total,19,19,19,17,20,22,20,18,18
HTI,Haiti,32535,Rank,Rank,165,163,161,158,159,157,161,168,170
HUN,Hungary,32534,CPI Score,Total,55,54,54,51,48,45,46,44,44
HUN,Hungary,32535,Rank,Rank,46,47,47,50,57,66,64,70,69
IDN,Indonesia,32534,CPI Score,Total,32,32,34,36,37,37,38,40,37
IDN,Indonesia,32535,Rank,Rank,118,114,107,88,90,96,89,85,102
IND,India,32534,CPI Score,Total,36,36,38,38,40,40,41,41,40
IND,India,32535,Rank,Rank,94,94,85,76,79,81,78,80,86
IRL,Ireland,32534,CPI Score,Total,69,72,74,75,73,74,73,74,72
IRL,Ireland,32535,Rank,Rank,25,21,17,18,19,19,18,18,20
IRN,"Iran, Islamic Rep.",32534,CPI Score,Total,28,25,27,27,29,30,28,26,25
IRN,"Iran, Islamic Rep.",32535,Rank,Rank,133,144,136,130,131,130,138,146,149
IRQ,Iraq,32534,CPI Score,Total,18,16,16,16,17,18,18,20,21
IRQ,Iraq,32535,Rank,Rank,169,171,170,161,166,169,168,162,160
ISL,Iceland,32534,CPI Score,Total,82,78,79,79,78,77,76,78,75
ISL,Iceland,32535,Rank,Rank,11,12,12,13,14,13,14,11,17
ISR,Israel,32534,CPI Score,Total,60,61,60,61,64,62,61,60,60
ISR,Israel,32535,Rank,Rank,39,36,37,32,28,32,34,35,35
ITA,Italy,32534,CPI Score,Total,42,43,43,44,47,50,52,53,53
ITA,Italy,32535,Rank,Rank,72,69,69,61,60,54,53,51,52
JAM,Jamaica,32534,CPI Score,Total,38,38,38,41,39,44,44,43,44
JAM,Jamaica,32535,Rank,Rank,83,83,85,69,83,68,70,74,69
JOR,Jordan,32534,CPI Score,Total,48,45,49,53,48,48,49,48,49
JOR,Jordan,32535,Rank,Rank,58,66,55,45,57,59,58,60,60
JPN,Japan,32534,CPI Score,Total,74,74,76,75,72,73,73,73,74
JPN,Japan,32535,Rank,Rank,17,18,15,18,20,20,18,20,19
KAZ,Kazakhstan,32534,CPI Score,Total,28,26,29,28,29,31,31,34,38
KAZ,Kazakhstan,32535,Rank,Rank,133,140,126,123,131,122,124,113,94
KEN,Kenya,32534,CPI Score,Total,27,27,25,25,26,28,27,28,31
KEN,Kenya,32535,Rank,Rank,139,136,145,139,145,143,144,137,
KGZ,Kyrgyz Republic,32534,CPI Score,Total,24,24,27,28,28,29,29,30,31
KGZ,Kyrgyz Republic,32535,Rank,Rank,154,150,136,123,136,135,132,126,124
KHM,Cambodia,32534,CPI Score,Total,22,20,21,21,21,21,20,20,21
KHM,Cambodia,32535,Rank,Rank,157,160,156,150,156,161,161,162,160
KOR,"Korea, Rep.",32534,CPI Score,Total,,,,,,54,57,59,61
KOR,"Korea, Rep.",32535,Rank,Rank,,,,,,51,45,39,33
KSV,Kosovo,32534,CPI Score,Total,,,,,,,,36,36
KSV,Kosovo,32535,Rank,Rank,,,,,,,,101,104
KWT,Kuwait,32534,CPI Score,Total,44,43,44,49,41,39,41,40,42
KWT,Kuwait,32535,Rank,Rank,66,69,67,55,75,85,78,85,78
LAO,Lao PDR,32534,CPI Score,Total,21,26,25,25,30,29,29,29,29
LAO,Lao PDR,32535,Rank,Rank,160,140,145,139,123,135,132,130,134
LBN,Lebanon,32534,CPI Score,Total,30,28,27,28,28,28,28,28,25
LBN,Lebanon,32535,Rank,Rank,128,127,136,123,136,143,138,137,149
LBR,Liberia,32534,CPI Score,Total,41,38,37,37,37,31,32,28,28
LBR,Liberia,32535,Rank,Rank,75,83,94,83,90,122,120,137,137
LBY,Libya,32534,CPI Score,Total,21,15,18,16,14,17,17,18,17
LBY,Libya,32535,Rank,Rank,160,172,166,161,170,171,170,168,173
LCA,St. Lucia,32534,CPI Score,Total,71,71,,,60,55,55,55,56
LCA,St. Lucia,32535,Rank,Rank,22,22,,,35,48,50,48,45
LKA,Sri Lanka,32534,CPI Score,Total,40,37,38,37,36,38,38,38,38
LKA,Sri Lanka,32535,Rank,Rank,79,91,85,83,95,91,89,93,94
LSO,Lesotho,32534,CPI Score,Total,45,49,49,44,39,42,41,40,41
LSO,Lesotho,32535,Rank,Rank,64,55,55,61,83,74,78,85,83
LTU,Lithuania,32534,CPI Score,Total,54,57,58,61,59,59,59,60,60
LTU,Lithuania,32535,Rank,Rank,48,43,39,32,38,38,38,35,35
LUX,Luxembourg,32534,CPI Score,Total,80,80,82,81,81,82,81,80,80
LUX,Luxembourg,32535,Rank,Rank,12,11,9,10,10,8,9,9,9
LVA,Latvia,32534,CPI Score,Total,49,53,55,55,57,58,58,56,57
LVA,Latvia,32535,Rank,Rank,54,49,43,40,44,40,41,44,42
